3  Stimmabgabe nach Geschlecht und Altersgruppen in den Ländern 2013;;;;;;;;;;;;;;
3.2  Gültige Zweitstimmen;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Partei;Insgesamt;;Davon Wähler im Alter von ... bis unter ... Jahren;;;;;;;;;;;
;;;18 - 25;;25 - 35;;35 - 45;;45 - 60;;60 - 70;;70 und mehr;
;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%;1000;%
;;;;;;;;;;;;;;
;Schleswig-Holstein;;;;;;;;;;;;;
;Insgesamt;;;;;;;;;;;;;
FDP;18,968;2,185900664;1,194338037;2,983726551;3,185780101;3,082968341;2,747076851;2,567594975;6,787923143;2,385167684;2,888608165;1,982540629;2,164273703;1,156758013
DIE LINKE;186,871;21,53529328;5,338908541;13,33780109;14,94765893;14,46526684;17,15382442;16,03306924;63,22145817;22,21500977;38,3428349;26,31586691;47,86631504;25,58352181
GRÜNE;37,716;4,3464482;2,978974275;7,442151522;6,716657794;6,499897255;7,429422764;6,944017072;12,80357379;4,498971158;3,906596592;2,681217397;3,880774782;2,074191134
Sonstige;100,709;11,60585565;9,130073858;22,80898953;20,70347503;20,03533076;16,97247165;15,86356527;34,50781814;12,12549567;12,38294576;8,498796542;7,012215552;3,747879262
dar. PIRATEN;16,563;1,90874487;3,695139628;9,231294556;5,426845993;5,251710367;2,967436204;2,77355702;3,23991981;1,138456029;0,748895569;0,513990063;0,484762796;0,259095348
dar. NPD;23,735;2,735256868;2,109835678;5,270846726;5,86572891;5,676429618;4,56198885;4,263928634;7,793802109;2,738617473;2,351491877;1,613901201;1,052152576;0,562353053
dar. AfD;48,885;5,63358045;2,770396649;6,921077436;7,663441782;7,416126551;7,695199168;7,192428819;18,78801283;6,601807372;7,557324406;5,186824182;4,410625163;2,357384832
Zusammen;867,743;100;40,02840128;100;103,3348302;100;106,9902722;100;284,588928;100;145,7023439;100;187,0982244;100
;Männer;;;;;;;;;;;;;
CDU;159,0163008;38,07338177;6,932397066;33,04598506;18,80172531;36,04896212;22,64967443;41,55030822;55,13473371;39,75779569;25,07011285;35,39792006;30,42765738;37,79287281
SPD;79,8082602;19,10854639;4,049075128;19,30150205;8,706580123;16,69331787;8,223824788;15,08641794;23,72042115;17,10485558;14,81779341;20,92208638;20,29056559;25,202031
FDP;10,41726119;2,49421198;0,791455558;3,77278282;1,725424066;3,308193571;1,420059479;2,605066542;3,774867308;2,722066346;1,740212994;2,45710583;0,965241788;1,198884938
